3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Michel Lespinasse            1 (0.0%)
David Henningsson            1 (0.0%)
Maarten Lankhorst            1 (0.0%)
Thomas Renninger             1 (0.0%)
Peter Chen                   1 (0.0%)
Flavio Leitner               1 (0.0%)
Vijay Purushothaman          1 (0.0%)
Johan Rudholm                1 (0.0%)
Kenneth Graunke              1 (0.0%)
Dave Airlie                  1 (0.0%)
Luciano Coelho               1 (0.0%)
Jesper Juhl                  1 (0.0%)
Randy Dunlap                 1 (0.0%)
Andi Kleen                   1 (0.0%)
Aneesh Kumar K.V             1 (0.0%)
Mark Rutland                 1 (0.0%)
Oliver Neukum                1 (0.0%)
Carl Worth                   1 (0.0%)
David S. Miller              1 (0.0%)
Andrew Morton                1 (0.0%)
Theodore Ts'o                1 (0.0%)
Anton Vorontsov              1 (0.0%)
Archit Taneja                1 (0.0%)
Rafał Miłecki              1 (0.0%)
Hiroshi DOYU                 1 (0.0%)
Richard Cochran              1 (0.0%)
Marcin Slusarz               1 (0.0%)
Stefano Stabellini           1 (0.0%)
Marek Belisko                1 (0.0%)
Naoya Horiguchi              1 (0.0%)
Jouni Malinen                1 (0.0%)
KOSAKI Motohiro              1 (0.0%)
Jianguo Wu                   1 (0.0%)
Xose Vazquez Perez           1 (0.0%)
Greg Thelen                  1 (0.0%)
Aaron Plattner               1 (0.0%)
Suresh Jayaraman             1 (0.0%)
Francesco Virlinzi           1 (0.0%)
Hila Gonen                   1 (0.0%)
Preeti Murthy                1 (0.0%)
Maciej Patelczyk             1 (0.0%)
Eric Miao                    1 (0.0%)
Vandana Salve                1 (0.0%)
Yvan FILLION                 1 (0.0%)
Greg Kroah-Hartman           1 (0.0%)
Arnaldo Carvalho de Melo     1 (0.0%)
Benjamin Herrenschmidt       1 (0.0%)
Sachin Kamat                 1 (0.0%)
Russell King                 1 (0.0%)
J. Bruce Fields              1 (0.0%)
Jens Axboe                   1 (0.0%)
Vinod Koul                   1 (0.0%)
Laxman Dewangan              1 (0.0%)
Antonio Quartulli            1 (0.0%)
Alexander Duyck              1 (0.0%)
Paul Gortmaker               1 (0.0%)
Johan Hovold                 1 (0.0%)
Marek Szyprowski             1 (0.0%)
Geert Uytterhoeven           1 (0.0%)
Felix Fietkau                1 (0.0%)
Sarah Sharp                  1 (0.0%)
Sam Ravnborg                 1 (0.0%)
Michal Marek                 1 (0.0%)
Amerigo Wang                 1 (0.0%)
Jussi Kivilinna              1 (0.0%)
Jean-Christophe PLAGNIOL-VILLARD    1 (0.0%)
Alexander Shiyan             1 (0.0%)
Maxime Ripard                1 (0.0%)
Chanwoo Choi                 1 (0.0%)
Daniel Mack                  1 (0.0%)
Uwe Kleine-König            1 (0.0%)
Hugh Dickins                 1 (0.0%)
Jan Beulich                  1 (0.0%)
Anton Blanchard              1 (0.0%)
Malcolm Priestley            1 (0.0%)
David Rientjes               1 (0.0%)
françois romieu             1 (0.0%)
AnilKumar Ch                 1 (0.0%)
Ed Cashin                    1 (0.0%)
Greg Rose                    1 (0.0%)
Michael Ellerman             1 (0.0%)
Dong Aisheng                 1 (0.0%)
Peter Hurley                 1 (0.0%)
Simon Wunderlich             1 (0.0%)
Chuck Lever                  1 (0.0%)
Tomasz Stanislawski          1 (0.0%)
Nishanth Menon               1 (0.0%)
Ondrej Zary                  1 (0.0%)
Cesar Eduardo Barros         1 (0.0%)
majianpeng                   1 (0.0%)
Dmitry Kravkov               1 (0.0%)
David Teigland               1 (0.0%)
Daniel Borkmann              1 (0.0%)
Stephen Hemminger            1 (0.0%)
Antonio Ospite               1 (0.0%)
Mattia Dongili               1 (0.0%)
Bo Shen                      1 (0.0%)
Mugunthan V N                1 (0.0%)
Szymon Janc                  1 (0.0%)
Philip, Avinash              1 (0.0%)
Igor Grinberg                1 (0.0%)
Abhilash Kesavan             1 (0.0%)
liu chuansheng               1 (0.0%)
Tom Parkin                   1 (0.0%)
Stone Piao                   1 (0.0%)
Steffen Trumtrar             1 (0.0%)
AceLan Kao                   1 (0.0%)
Adrian Knoth                 1 (0.0%)
R, Sricharan                 1 (0.0%)
Michael Holzheu              1 (0.0%)
John David Anglin            1 (0.0%)
Heikki Krogerus              1 (0.0%)
Kevin Liu                    1 (0.0%)
Tarun Kanti DebBarma         1 (0.0%)
Ashish Jangam                1 (0.0%)
Vyacheslav Dubeyko           1 (0.0%)
Dirk Brandewie               1 (0.0%)
Dylan Reid                   1 (0.0%)
Tsutomu Itoh                 1 (0.0%)
Seiji Aguchi                 1 (0.0%)
Simon Wood                   1 (0.0%)
Andre Przywara               1 (0.0%)
Chen Gong                    1 (0.0%)
Haggai Eran                  1 (0.0%)
Andreas Schwab               1 (0.0%)
Vivek Goyal                  1 (0.0%)
srinivas pandruvada          1 (0.0%)
Arve Hjønnevåg             1 (0.0%)
Michael Büsch               1 (0.0%)
Christoph Paasch             1 (0.0%)
Hui Wang                     1 (0.0%)
Raja Mani                    1 (0.0%)
Ben Collins                  1 (0.0%)
Mike Frysinger               1 (0.0%)
Dinh Nguyen                  1 (0.0%)
Sachin Prabhu                1 (0.0%)
Seth Heasley                 1 (0.0%)
Don Zickus                   1 (0.0%)
Raghavendra K T              1 (0.0%)
Holger Brunck                1 (0.0%)
Maxime Bizon                 1 (0.0%)
Anisse Astier                1 (0.0%)
Robert Lee                   1 (0.0%)
Bob Copeland                 1 (0.0%)
Dave Jiang                   1 (0.0%)
Linus Luessing               1 (0.0%)
G.Shark Jeong                1 (0.0%)
Milan Broz                   1 (0.0%)
Cliff Wickman                1 (0.0%)
David Sharp                  1 (0.0%)
Dave Kleikamp                1 (0.0%)
Nathan Fontenot              1 (0.0%)
Yaakov Selkowitz             1 (0.0%)
Jean-Nicolas Graux           1 (0.0%)
Robin Holt                   1 (0.0%)
Jason Baron                  1 (0.0%)
Nikolai Kondrashov           1 (0.0%)
Fernando Guzman Lugo         1 (0.0%)
Nathan Zimmer                1 (0.0%)
Stephan Gatzka               1 (0.0%)
Tim Chen                     1 (0.0%)
Alexey Kardashevskiy         1 (0.0%)
Sergey Senozhatsky           1 (0.0%)
Samuel Thibault              1 (0.0%)
Mingarelli, Thomas           1 (0.0%)
Andre Heider                 1 (0.0%)
Markus Trippelsdorf          1 (0.0%)
Zumeng Chen                  1 (0.0%)
Moiz Sonasath                1 (0.0%)
Ozan Çağlayan              1 (0.0%)
Bernd Schubert               1 (0.0%)
Domenico Andreoli            1 (0.0%)
Dmitry Lifshitz              1 (0.0%)
Joe Lawrence                 1 (0.0%)
Lubomir Rintel               1 (0.0%)
Mian Yousaf Kaukab           1 (0.0%)
Ray Chen                     1 (0.0%)
Steve Capper                 1 (0.0%)
Dmitry Cherkasov             1 (0.0%)
Paolo Pisati                 1 (0.0%)
Greg Pearson                 1 (0.0%)
Marc Dionne                  1 (0.0%)
Douglas Gilbert              1 (0.0%)
Michael Olbrich              1 (0.0%)
Mikael Pettersson            1 (0.0%)
Maxim Nikulin                1 (0.0%)
Bernhard Froemel             1 (0.0%)
Keith Packard                1 (0.0%)
Tormod Volden                1 (0.0%)
David McCullough             1 (0.0%)
Florian Echtler              1 (0.0%)
Aleksi Torhamo               1 (0.0%)
Mischa Jonker                1 (0.0%)
Dave Hansen                  1 (0.0%)
Joseph Salisbury             1 (0.0%)
Jonathan Woithe              1 (0.0%)
Bruno Morelli                1 (0.0%)
Alexander Lyakas             1 (0.0%)
Iwo Mergler                  1 (0.0%)
Brian Downing                1 (0.0%)
Anders Kaseorg               1 (0.0%)
Philipp Dreimann             1 (0.0%)
Laura Abbott                 1 (0.0%)
Charles Wang                 1 (0.0%)
Calvin Walton                1 (0.0%)
Larry Woodman                1 (0.0%)
Siddhesh Poyarekar           1 (0.0%)
Daniel Hellstrom             1 (0.0%)
Raúl Porcel                 1 (0.0%)
Jana Saout                   1 (0.0%)
Tom Jackson                  1 (0.0%)
Steven Noonan                1 (0.0%)
Peter Tyser                  1 (0.0%)
Steffen Müller              1 (0.0%)
Lennert Buytenhek            1 (0.0%)
Jan Weitzel                  1 (0.0%)
Tobita Tatsunosuke           1 (0.0%)
Marcelo Ricardo Leitner      1 (0.0%)
Aleksander Morgado           1 (0.0%)
Malahal Naineni              1 (0.0%)
Uros Bizjak                  1 (0.0%)
Cyrus Lien                   1 (0.0%)
Valdis Kletnieks             1 (0.0%)
Raffaele Recalcati           1 (0.0%)
Holger Schurig               1 (0.0%)
Florent Fourcot              1 (0.0%)
Daniel Hazelton              1 (0.0%)
Luigi Semenzato              1 (0.0%)
Omair Mohammed Abdullah      1 (0.0%)
Jeff Disher                  1 (0.0%)
John Eaglesham               1 (0.0%)
Huang, Adrian (ISS Linux TW)    1 (0.0%)
Jack Mitchell                1 (0.0%)
Lingzhu Xiang                1 (0.0%)
Russ Anderson                1 (0.0%)
Soeren Moch                  1 (0.0%)
Emanuel Taube                1 (0.0%)
Ryan Press                   1 (0.0%)
David Oostdyk                1 (0.0%)
Konstantin Holoborodko       1 (0.0%)
Zhouyi Zhou                  1 (0.0%)
Tregaron Bayly               1 (0.0%)
Bogdan Hamciuc               1 (0.0%)
Jim Paradis                  1 (0.0%)
Rupesh KUMAR                 1 (0.0%)
Shubhrajyoti Datta           1 (0.0%)
Michael Tokarev              1 (0.0%)
Dan Horák                   1 (0.0%)
Sankara Muthukrishnan        1 (0.0%)
Sebastian Macke              1 (0.0%)
James Nute                   1 (0.0%)
Andrew Bartlett              1 (0.0%)
Martin Steigerwald           1 (0.0%)
feng xiangjun                1 (0.0%)
Owen Kibel                   1 (0.0%)
Torsten Hilbrich             1 (0.0%)
Bret Towe                    1 (0.0%)
Javier Marcet                1 (0.0%)
Pavel Pisa                   1 (0.0%)
Franco Miceli                1 (0.0%)
Tom Horsley                  1 (0.0%)
Joe Woodward                 1 (0.0%)
Praveen Murali               1 (0.0%)
shyju pv                     1 (0.0%)
Florian Neuhaus              1 (0.0%)
Doug Smythies                1 (0.0%)
Simon Kirby                  1 (0.0%)
Christian Balzer             1 (0.0%)
Shaun Reich                  1 (0.0%)
Nils Kanning                 1 (0.0%)
Richard Crossley             1 (0.0%)
John McFarland               1 (0.0%)
Michael Leun                 1 (0.0%)
Robert Schwebel              1 (0.0%)
Zoltán Böszörményi       1 (0.0%)
Ivan Perrone                 1 (0.0%)
Simon Raffeiner              1 (0.0%)
Dmitry Antipov               1 (0.0%)
Jörg-Volker Peetz           1 (0.0%)
Witold Baryluk               1 (0.0%)
Daniel Gnoutcheff            1 (0.0%)
William Cohen                1 (0.0%)
Meelis Roos                  1 (0.0%)
Joe Bloggsian                1 (0.0%)
Robert Lowery                1 (0.0%)
Vincent Frentzel             1 (0.0%)
Julian Simioni               1 (0.0%)
Vladyslav                    1 (0.0%)
Tushar Gosavi                1 (0.0%)
Christian Eggers             1 (0.0%)
Jesse Feddema                1 (0.0%)
Ralf Jung                    1 (0.0%)
Cong Meng                    1 (0.0%)
David Liu                    1 (0.0%)
Erwan Velu                   1 (0.0%)
Eliot Blennerhassett         1 (0.0%)
Michael Schmitz              1 (0.0%)
Wolfgang Denk                1 (0.0%)
Zhengguang Guo               1 (0.0%)
Lukas Hejtmanek              1 (0.0%)
Konrad Eisele                1 (0.0%)
Stephan Raue                 1 (0.0%)
Martin Beyss                 1 (0.0%)
Da Xue                       1 (0.0%)
Bo Wang                      1 (0.0%)
Timo Aaltonen                1 (0.0%)
Peter Clifton                1 (0.0%)
Christian Tefzer             1 (0.0%)
Aleksey Spiridonov           1 (0.0%)
Eddie Dunn                   1 (0.0%)
Jakub Luzny                  1 (0.0%)
Olivier Goffart              1 (0.0%)
Duncan                       1 (0.0%)
John Drescher                1 (0.0%)
Brian Cockrell               1 (0.0%)
Nicolas Lefebvre             1 (0.0%)
Steve Sakoman                1 (0.0%)
Artemy Tregubenko            1 (0.0%)
Lisa Mitchell                1 (0.0%)
Tobias Geiger                1 (0.0%)
Andreas Messer               1 (0.0%)
Andreas Bombe                1 (0.0%)
Oliver Smith                 1 (0.0%)
Shea Levy                    1 (0.0%)
Murali Nalajala              1 (0.0%)
Daniel Schroeder             1 (0.0%)
Göran Uddeborg              1 (0.0%)
Michael Hench                1 (0.0%)
Franz Schrober               1 (0.0%)
Roel van Meer                1 (0.0%)
John Hommel                  1 (0.0%)
Ivan Vasilyev                1 (0.0%)
Mark van Dijk                1 (0.0%)
Roberto Romer                1 (0.0%)
Benoit Gschwind              1 (0.0%)
Ruan Zhijie                  1 (0.0%)
Denis Turischev              1 (0.0%)
James Ettle                  1 (0.0%)
Matthew Hall                 1 (0.0%)
Chris Gagnon                 1 (0.0%)
Kris Karas                   1 (0.0%)
Tim Bentley                  1 (0.0%)
Thorsten Glaser              1 (0.0%)
Mario                        1 (0.0%)
Vijay Chauhan                1 (0.0%)
Andreas Koch                 1 (0.0%)
Adam Williamson              1 (0.0%)
Adam Somerville              1 (0.0%)
Hubert Eichner               1 (0.0%)
Du Yan                       1 (0.0%)
Benixon Dhas                 1 (0.0%)
John McCarron                1 (0.0%)
Dan Melnic                   1 (0.0%)
Kin Cho                      1 (0.0%)
Eric Wustrow                 1 (0.0%)
Mr Dash Four                 1 (0.0%)
Sebastian Zenker             1 (0.0%)
Chaitanya Bandi              1 (0.0%)
Phil Dibowitz                1 (0.0%)
Mike Sartain                 1 (0.0%)
Thorsten Leemhuis            1 (0.0%)
John Ellson                  1 (0.0%)
Bruno Wolff III              1 (0.0%)
Norbert Warmuth              1 (0.0%)
Johannes Hirte               1 (0.0%)
Jeff Chua                    1 (0.0%)
Maxim Britov                 1 (0.0%)
Melanie Blower               1 (0.0%)
Hubert Lin                   1 (0.0%)
Jan Janssen                  1 (0.0%)
Matthew Thode                1 (0.0%)
Dan van der Ster             1 (0.0%)
Simon                        1 (0.0%)
Olof Ermis                   1 (0.0%)
Tommy Cheng                  1 (0.0%)
Eddie Chapman                1 (0.0%)
Everaldo Canuto              1 (0.0%)
jongman heo                  1 (0.0%)
Dan Winner                   1 (0.0%)
Chris Hiestand               1 (0.0%)
Jingjie Jiang                1 (0.0%)
Mathieu Chouquet-Stringer    1 (0.0%)
Pavel Lucik                  1 (0.0%)
Vinícius Angiolucci         1 (0.0%)
Andrea Righi                 1 (0.0%)
Chaoxing Lin                 1 (0.0%)
Markus Kanet                 1 (0.0%)
Jürg Billeter               1 (0.0%)
Rhys                         1 (0.0%)
Mike Kazantsev               1 (0.0%)
Francois Tigeot              1 (0.0%)
Florian Reitmeir             1 (0.0%)
Torsten Luettgert            1 (0.0%)
Jan Hinnerk Stosch           1 (0.0%)
Markus Schauler              1 (0.0%)
Petr Tesarik                 1 (0.0%)
Do Q.Thang                   1 (0.0%)
Francesco                    1 (0.0%)
Nikolai Spasov               1 (0.0%)
Alan Swanson                 1 (0.0%)
Arteom                       1 (0.0%)
Darryl Bond                  1 (0.0%)
Jack                         1 (0.0%)
Barry Marson                 1 (0.0%)
Thomas Voegtle               1 (0.0%)
VL                           1 (0.0%)
YunQiang Su                  1 (0.0%)
Carl A. Cook                 1 (0.0%)
nirinA raseliarison          1 (0.0%)
Hubert Feurstein             1 (0.0%)
Cyril B.                     1 (0.0%)
Mahesh J. Salgaonkar         1 (0.0%)
Jochen Friedrich             1 (0.0%)
Don Morris                   1 (0.0%)
Andrew Savchenko             1 (0.0%)
Nathaniel Doherty            1 (0.0%)
Mike Qiu                     1 (0.0%)
Toralf Förster              1 (0.0%)
Martin Mokrejs               1 (0.0%)
Matthew Robbetts             1 (0.0%)
Michael Beer                 1 (0.0%)
stathis                      1 (0.0%)
Leonid Isaev                 1 (0.0%)
Jamie Parsons                1 (0.0%)
Alexander Bersenev           1 (0.0%)
Andrew Clayton               1 (0.0%)
Alex Riesen                  1 (0.0%)
Patrik Kluba                 1 (0.0%)
Cédric Debarge              1 (0.0%)
Ryan Coe                     1 (0.0%)
Sune Mølgaard               1 (0.0%)
Vincent Blut                 1 (0.0%)
Maurizio Avogadro            1 (0.0%)
Nathanael Noblet             1 (0.0%)
Alexey Zaytsev               1 (0.0%)
